participant,task,condition,stim,ch_name,window,mean_amp
P02,oddball_game,high_flow,standard,Fp1,350-750ms,0.41659914137706383
P02,oddball_game,high_flow,standard,Fpz,350-750ms,-0.42281902964194823
P02,oddball_game,high_flow,standard,Fp2,350-750ms,0.21458041766432584
P02,oddball_game,high_flow,standard,AF7,350-750ms,0.9357992079990122
P02,oddball_game,high_flow,standard,AF3,350-750ms,-0.5539034057245735
P02,oddball_game,high_flow,standard,AF4,350-750ms,-0.586152306132467
P02,oddball_game,high_flow,standard,AF8,350-750ms,-0.37684274649366223
P02,oddball_game,high_flow,standard,F7,350-750ms,-0.39887418896222393
P02,oddball_game,high_flow,standard,F5,350-750ms,-0.4908171032641288
P02,oddball_game,high_flow,standard,F3,350-750ms,-0.6332623378618473
P02,oddball_game,high_flow,standard,F1,350-750ms,-0.6756232069706143
P02,oddball_game,high_flow,standard,Fz,350-750ms,-0.7155087883722168
P02,oddball_game,high_flow,standard,F2,350-750ms,-0.6938025949526246
P02,oddball_game,high_flow,standard,F4,350-750ms,-0.6789604021295148
P02,oddball_game,high_flow,standard,F6,350-750ms,-0.4672711459191205
P02,oddball_game,high_flow,standard,F8,350-750ms,-0.31464353477346446
P02,oddball_game,high_flow,standard,FT7,350-750ms,0.9489895408692983
P02,oddball_game,high_flow,standard,FC5,350-750ms,-0.60171974722591
P02,oddball_game,high_flow,standard,FC3,350-750ms,-0.6033875843460116
P02,oddball_game,high_flow,standard,FC1,350-750ms,-0.741069090291038
P02,oddball_game,high_flow,standard,FCz,350-750ms,-0.7652895818455564
P02,oddball_game,high_flow,standard,FC2,350-750ms,-0.7757952697303411
P02,oddball_game,high_flow,standard,FC4,350-750ms,-0.7254998632955387
P02,oddball_game,high_flow,standard,FC6,350-750ms,-0.4975600022829401
P02,oddball_game,high_flow,standard,FT8,350-750ms,0.7190036686843734
P02,oddball_game,high_flow,standard,T7,350-750ms,-0.36276116091346183
P02,oddball_game,high_flow,standard,C5,350-750ms,-0.5905983391791917
P02,oddball_game,high_flow,standard,C3,350-750ms,-0.7954532505006872
P02,oddball_game,high_flow,standard,C1,350-750ms,-0.8455584146912722
P02,oddball_game,high_flow,standard,Cz,350-750ms,-0.8733734091984438
P02,oddball_game,high_flow,standard,C2,350-750ms,-0.8124121363247377
P02,oddball_game,high_flow,standard,C4,350-750ms,-0.7496164087234117
P02,oddball_game,high_flow,standard,C6,350-750ms,-0.5439956209746042
P02,oddball_game,high_flow,standard,T8,350-750ms,-0.37070579344789184
P02,oddball_game,high_flow,standard,TP7,350-750ms,-0.46608438469941105
P02,oddball_game,high_flow,standard,CP5,350-750ms,-0.6033728497358858
P02,oddball_game,high_flow,standard,CP3,350-750ms,-0.8104261589081558
P02,oddball_game,high_flow,standard,CP1,350-750ms,-0.8881264256749275
P02,oddball_game,high_flow,standard,CPz,350-750ms,-0.9572723745366827
P02,oddball_game,high_flow,standard,CP2,350-750ms,-0.8424942093519561
P02,oddball_game,high_flow,standard,CP4,350-750ms,-0.8066700471675126
P02,oddball_game,high_flow,standard,CP6,350-750ms,-0.6023611352842815
P02,oddball_game,high_flow,standard,TP8,350-750ms,-0.4491816946164629
P02,oddball_game,high_flow,standard,P7,350-750ms,-0.6257249423549721
P02,oddball_game,high_flow,standard,P5,350-750ms,-0.7399664473700298
P02,oddball_game,high_flow,standard,P3,350-750ms,-0.8402203526178014
P02,oddball_game,high_flow,standard,P1,350-750ms,-0.9158018366143615
P02,oddball_game,high_flow,standard,Pz,350-750ms,-0.9555896605220556
P02,oddball_game,high_flow,standard,P2,350-750ms,-0.8831467536036414
P02,oddball_game,high_flow,standard,P4,350-750ms,-0.7609830496938521
P02,oddball_game,high_flow,standard,P6,350-750ms,-0.6637765589690249
P02,oddball_game,high_flow,standard,P8,350-750ms,-0.5579727760252926
P02,oddball_game,high_flow,standard,PO7,350-750ms,-0.7627189816651496
P02,oddball_game,high_flow,standard,PO5,350-750ms,-0.8254141408866824
P02,oddball_game,high_flow,standard,PO3,350-750ms,-0.8791887625300664
P02,oddball_game,high_flow,standard,POz,350-750ms,-0.8767848457023707
P02,oddball_game,high_flow,standard,PO4,350-750ms,-0.8440513691858517
P02,oddball_game,high_flow,standard,PO6,350-750ms,-0.7813367656079478
P02,oddball_game,high_flow,standard,PO8,350-750ms,-0.7161448837221701
P02,oddball_game,high_flow,standard,O1,350-750ms,-0.8923041382763088
P02,oddball_game,high_flow,standard,Oz,350-750ms,-0.9712152508424842
P02,oddball_game,high_flow,standard,O2,350-750ms,-0.834715046997393
P02,oddball_game,low_flow,standard,Fp1,350-750ms,0.3990827080121826
P02,oddball_game,low_flow,standard,Fpz,350-750ms,0.4748227321562303
P02,oddball_game,low_flow,standard,Fp2,350-750ms,0.48579354480710335
P02,oddball_game,low_flow,standard,AF7,350-750ms,0.43317770999825217
P02,oddball_game,low_flow,standard,AF3,350-750ms,0.5629725617228071
P02,oddball_game,low_flow,standard,AF4,350-750ms,0.41127326998244607
P02,oddball_game,low_flow,standard,AF8,350-750ms,0.3619485595325428
P02,oddball_game,low_flow,standard,F7,350-750ms,0.42065088313182286
P02,oddball_game,low_flow,standard,F5,350-750ms,0.6316613412721529
P02,oddball_game,low_flow,standard,F3,350-750ms,0.591096960896235
P02,oddball_game,low_flow,standard,F1,350-750ms,0.637021314625119
P02,oddball_game,low_flow,standard,Fz,350-750ms,0.557407866559642
P02,oddball_game,low_flow,standard,F2,350-750ms,0.6213354477688328
P02,oddball_game,low_flow,standard,F4,350-750ms,0.6581173275643593
P02,oddball_game,low_flow,standard,F6,350-750ms,0.34347636757080147
P02,oddball_game,low_flow,standard,F8,350-750ms,0.3124714157385766
P02,oddball_game,low_flow,standard,FT7,350-750ms,-0.6258803364506438
P02,oddball_game,low_flow,standard,FC5,350-750ms,0.5795309270548321
P02,oddball_game,low_flow,standard,FC3,350-750ms,0.6795573708941497
P02,oddball_game,low_flow,standard,FC1,350-750ms,0.7118521630539179
